COULIBALY, MARIAM ALOU	LR	30	772.54	
MENDEZ CAMPS, LAURA	LR	30	393.49
MONGOMO CARVALLO, MARIA CONCEPCIÓN	LR	27	320.59
NACZK, MONIKA ANIELA	LR	24	372.13
PALMA JORGE, ANA MARIA	LR	30	578.16
RHINE, SARA	LR	30	850.12
ROKKANEN, SARA EMILIA SUSANNA	LR	8	50.56
SILVA SERRANO , ROSELIS CAROLINA	LR	20	575.54
ALIAGA ROMERO, LAURA	LR	30	738.25
BLANCO MORROS, MARTA	LR	13	62.59
BOGICEVIC, NINA	LR	9	127.38
FRANCO FENTE, MARÍA TERESA	LR	3	10.15
GIMENO MARTINEZ, VEGA	LR	29	833.01
HEMPE, MERRITT RAMONA	LR	26	685.42
HOYUELOS ALDEA, PAULA	LR	3	03.56
LEBRON PEÑA, YASHINA LEANI	LR	2	04.15
LIJO RODRIGUEZ, ELENA	LR	1	02.49
OMA GIRALT, HELENA	LR	8	210.23
PRIETO MARTINEZ, ALBA	LR	30	723.13
SANCHEZ MARRUFO, BEATRIZ	LR	20	508.20
STANACEV , ALEKSANDRA	LR	30	974.46
TUDANCA ACEDO, MARTA	LR	6	35.18
VAN DEN ADEL, NATALIE ISABELLE	LR	26	552.36
VILLEGAS MARTIN, ALICIA	LR	4	28.10
WHITE, CHATRICE MARIE	LR	30	523.14
ALLEN, REBECCA	LR	29	669.57
CARRERA QUINTANA, RAQUEL	LR	28	579.38
CASAS CARRERAS, QUERALT	LR	29	806.57
GARCIA GARCIA, PAULA	LR	1	01.14	0	0/0	0/0	0/0	0/0	0	0	0	0	0	0	0	0	0	0	0	0
GIL COLLADO, LAURA	LR	27	681.57
GOMEZ IGUAL, ANNA	LR	24	346.48
GULICH, MARIE ISABELLE	LR	25	501.32
JUSKAITE, LAURA	LR	30	525.27
OUVIÑA MODREGO, CRISTINA	LR	29	734.52
PINA TOLOSA, MARIA	LR	5	58.39
ROMERO GONZALEZ, LETICIA	LR	28	458.32
SEGURA MORENO, LORENA	LR	18	121.17
TRAHAN DAVIS, CELESTE	LR	30	563.10
ABAD MOYANO, CRISTINA	LR	1	07.44
AYDIN, MERVE	LR	16	491.42
BARRADO DEL SOL, YOLANDA	LR	1	00.13
CALVO NOTARIO, CELIA	LR	2	07.44
CAMBERO CHAVES, PILAR MARIA	LR	5	16.00
CAMBERO ROMAN, CARMEN	LR	1	00.47
CHRISTINAKI, ELEANNA	LR	29	887.46
FASOULA, MARIA	LR	16	451.39
HART, ALEXA NICOLE	LR	30	749.02
HATCHI, MANUELLA JEANNINE	LR	8	145.35
HISADO SANTOS, SIRA	LR	3	03.23
HITTNER, REBECCA MARIE	LR	14	356.14
JONES, ALEXIS MICHELLE	LR	15	442.30
LAHUERTA MENDOZA, IRENE	LR	30	728.38
LLORENTE, VICTORIA	LR	30	921.39
MARTÍNEZ RICO, CLAUDIA	LR	1	00.50
MORENO DÍAZ, MARÍA ISABEL	LR	2	08.30
MORIÑIGO AVILES, CLARA MARÍA	LR	1	00.39
NUÑEZ ESTEVEZ, CLARA	LR	6	24.25
ODWYER, FIONA EILISH	LR	12	239.43
OLLERO MATEOS, CARLA	LR	1	00.21
PACHURINA, ANNA	LR	9	213.54
RECIO ROL, MARTA	LR	1	00.13
ROMERO GARRIDO, MARÍA	LR	13	70.34
VASALLO MARTÍN, LAURA	LR	6	24.56
ZAPLATOVA, PETRA	LR	10	205.19
BRITO HERNANDEZ, CARLA	LR	11	35.19
DORESTE QUINTANA, MARIA	LR	1	00.26
ESPAÑA ALMENDRO, MARIA	LR	28	836.45
FALL, SOKHNA ADJI	LR	30	291.36
HARTMANN, ALINA WAYAN	LR	30	345.46
HERMIDA HERRAEZ, MARTA	LR	30	776.35
JAMES, KAI AFI	LR	30	975.29
JORGE GARCIA, GARA	LR	2	06.53
KONE , SIKA	LR	30	1051.02
NDIAYE, DJENEBA	LR	30	635.50
RODRIGUEZ DOMINGUEZ, ELENA	LR	18	69.01
RODRIGUEZ SANCHEZ, MIRIAM	LR	2	04.49
TAYLOR, SPARKLE SHEANNA	LR	29	1014.25
TOLLAR LOPEZ, ANDREA	LR	2	06.04
AYUSO BAGUR, AINA	LR	30	587.35
BRAHIMA SANGARE, AMINATA	LR	29	390.53
CENIS POLO, MARINA	LR	5	35.56
CRUZ LEBRATO, ANNA	LR	9	218.20
GATLING, MARKEISHA CHERTE	LR	30	913.57
GORECKI, HALEY	LR	15	391.22
HANDY, CHANTELLE	LR	30	591.27
HERNANDEZ ORTIZ, ZOE	LR	18	189.45
LAZARO CASTILLERO, YAIZA	LR	4	50.55
MASTRAL LEJARRAGA, ALEJANDRA	LR	4	29.32
NICHOLLS GONZALEZ, LAURA	LR	26	690.15
OMERBASIC, SAMRA	LR	12	54.46
PARKS , ROBYN LASHAE	LR	8	232.10
ROYO TORRES, BEATRIZ	LR	1	12.31
TAINTA LIZALDE, ANA	LR	1	15.43
VANLOO, JULIE ANITA	LR	28	718.09
VILLAMOR APARICIO, CRISTINA	LR	1	05.48
WURTZ, TAYLOR ROCHELLE	LR	29	895.56
